name,feature_types,detail_text,see_also,source_page
"GUACURARI ARTIGAS, COMANDANTE ANDRÉS",plazoleta,"Ordenanza N° 43.381-1988, BM N° 18.508. Andrés Guacurari Artigas (¿-?), militar, aborigen guaraní; adoptado por José Gervasio Artigas por lo que se lo conoce como Andresito Artigas; acompaña a Artigas en su campaña y defiende ante los portugueses la región de las Misiones, siendo tomado prisionero en 1819.",,205
GUARDAVIDAS ARGENTINOS,paseo,"Ley Nº 836-2002, BO Nº 1.510. Guardavidas Argentinos: homenaje a quienes ejercen esta profesión de rescate y primeros auxilios. Este paseo se encuentra en el mismo lugar donde funcionaban las dependencias de los guardavidas del Balneario Municipal de la Costanera.",,206
"GÜEMES TORINO, CADETE JORGE",calle,"Decreto del 9-1-1931, BM N° 2.424. Jorge Güemes Torino (?-1930), militar; cursa el tercer año en el Colegio Militar y participa en la revolución del 6 de septiembre de 1930, donde muere en un enfrentamiento en la zona de Congreso.",,207
"GUERRERO, MARÍA",calle-paseo,"Ordenanza N° 25.825-1971, BM N° 14.099 y Ordenanza N° 25.951-1971, BM N° 14.129. María Guerrero (1867-1928), actriz española; actúa por primera vez en Buenos Aires en el teatro Odeón en 1897 interpretando La niña boba, de Lope de Vega; visita posteriormente nuestro país en varias oportunidades destacándose en sus actuaciones en Doña María la brava, Malvaloca y La malquerida.",,207
"GUERRICO, INTENDENTE",calle,"Decreto N° 3.201-1956, BM N° 10.328. José Guerrico (1863-1933), comerciante y funcionario; intendente municipal de Buenos Aires del 8 de septiembre de 1930 al 20 de febrero de 1932.",,208
"GUILLÉN, NICOLÁS",cantero central,"Ley N° 644-2001, BO N° 1.303. Nicolás Guillén (1902-1989), poeta y periodista cubano; uno de los más importantes representantes de la literatura afrocubana; su obra se destaca por el contenido político y social; autor de Motivos del son, Songoro Cosongo y La paloma de vuelo popular.",,209
"HARRIS, PAUL PERCY",plazoleta,"Ordenanza N° 44.044-1989, BM N° 18.709. Paul Percy Harris (1868-1947), filántropo; fundador del Rotary Club Internacional.",,214
HIDROAVIÓN BUENOS AIRES,cantero central,"Ordenanza N° 33.136-1976, BM N° 15.383. Hidroavión Buenos Aires: hidroavión tripulado por Bernardo Duggan, Eduardo Olivero y Ernesto Campanelli, que une por primera vez Nueva York con Buenos Aires el 13 de agosto de 1926.",,217
"HIRSCH, BARÓN MAURICIO DE",plazoleta,"Ordenanza N° 44.099-1989, BM N° 18.709. Mauricio de Hirsch (1831-1896), filántropo alemán; fundador de diversas instituciones de beneficencia; contribuye en 1891 a la fundación de la Jowish Colonization Association, la que fomenta el establecimiento de colonias judías en la Argentina.",,217
"HISTORIA OFICIAL, LA",cantero central,"Ley N° 647-2001, BO N° 1.303. La historia oficial: película dirigida por Luis Puenzo y protagonizada por Héctor Alterio y Norma Aleandro; obtiene en 1985 el Premio Oscar a la mejor película extranjera.",,217
"HISTORIETA, PASEO DE LA",canteros centrales,"Ley Nº 431-2000, BO Nº 1.002. Historieta: homenaje a los creadores y dibujantes del humor gráfico argentino.",,217
"HOLOCAUSTO-SHOÁ, HOMENAJE A LAS VÍCTIMAS DEL",plaza,"Ley Nº 2.728-2008, BO Nº 2962. Holocausto-Shoá: homenaje a las víctimas judías del atroz genocidio llevado a cabo por el nazismo durante la Segunda Guerra Mundial. Shoah o shoá (literalmente catástrofe) es la palabra hebrea utilizada para referirse al Holocausto.",,218
HURACÁN,cantero central,"Ordenanza N° 44.901-1991, BM N° 19.068. Huracán: nombre del globo aerostático con el cual Jorge Newbery bate el récord sudamericano de duración y distancia, al unir Belgrano con la localidad brasileña de Bagé en Rio Grande do Sul (Brasil) el 27 de diciembre de 1909.",,221
INGLATERRA,calle,"Ordenanza N° 2.410 del 21-12-1927, BM Nº 1.319. Inglaterra: país situado en la isla de Gran Bretaña y con cuyo nombre se identifica popularmente a todo el Reino Unido. Capital: Londres.",,225
"INVENCIBLE DE FORLI, EL",cantero central,"Ordenanza N° 44.901-1991, BM N° 19.068. El invencible de Forli: nombre del globo aerostático con el que el capitán José Silimbani y su esposa Antonieta Cimolini (procedentes ambos de la ciudad italiana de Forli) realizaban ascensiones circenses, ya que en el lugar de la barquilla poseía un trapecio. El 13 de marzo de 1904, ella pierde la vida al ser el globo arrastrado hacia el río por el viento.",,226
"JARA, VÍCTOR",cantero central,"Ley N° 644-2001, BO N° 1.303. Víctor Jara (1938-1973), cantautor y director teatral chileno; uno de los principales exponentes del canto popular de Chile; detenido y asesinado en el Estadio Nacional de Santiago de Chile pocos días después del golpe de Estado del 11 de septiembre de 1973; autor de Paloma quiero cantarte, Plegaria a un labrador, Te recuerdo Amanda, entre otras composiciones.",,231
JUAN XXIII,plazoleta,"Ordenanza N° 31.557-1975, BM N° 15.101. Ángelo Giuseppe Roncalli, Juan XXIII (1881-1963), sacerdote; Papa de la Iglesia Católica de 1958 a 1963; da a luz las encíclicas Mater et Magistra, Aeterna Dei Sapientia y Pacem in terris.",,233
"KIOSCO DE LA FLORESTA, DEL",plazoleta,"Ley Nº 1.115-2003, BO Nº 1.818. Del Kiosco de la Floresta: recreo o pulpería, hito fundacional del futuro barrio, adonde llega el primer servicio ferroviario del país el 29 de agosto de 1857.",,236
"KRAUSE, INGENIERO JULIO",calle,"Ordenanza N° 16.388-1960, BM N° 11.425. Julio Krause (1858-1923), ingeniero; jefe de la Sección Hidrología y Perforaciones de la División Minas, Geología e Hidrología del Ministerio de Agricultura de la Nación, coordina en 1907 los trabajos que permiten el descubrimiento de petróleo en Comodoro Rivadavia.",,236
"KRAUSE, INGENIERO OTTO",plazoleta,"Ordenanza N° 43.117-1988, BM N° 18.431. Otto Krause (1856-1920), ingeniero civil; profesor; director de la Escuela Industrial de la Nación que hoy lleva su nombre; decano de la Facultad de Ciencias Exactas, Físicas y Naturales en 1906.",,236
"KUWAIT, ESTADO DE",cantero central,"Ley Nº 2.048-2006, BO Nº 2.514. Kuwait: país del Golfo pérsico. Capital: Al Kuwait.",,237
"LAGOS, ALBERTO",plazoleta,"Ordenanza N° 44.107-1989, BM N° 18.707. Alberto Lagos (1885-1960), escultor y profesor; autor de varias obras, entre ellas Al Inmigrante y Guillermo Udaondo.",,240
"LALLEMANT, INGENIERO GERMÁN AVE",cantero central,"Ordenanza N° 50.116-1995, BM N° 20.284. Germán Ave Lallemant (1835-1910), geólogo de origen alemán; radicado en la Argentina; se establece en San Luis; rector del Colegio Nacional de San Luis; autor de Memoria descriptiva de la provincia de San Luis e Índice alfabético de la flora puntana; funda el primer periódico marxista que aparece en la Argentina, El Obrero, en 1890.",,241
"LAMBERTUCCI, PACÍFICO VÍCTOR",cantero central,"Ley Nº 2.049-2006, BO Nº 2.514. Pacífico Víctor Lambertucci (1891-1976), músico, pianista, compositor y director; integra distintos conjuntos musicales; compositor de El espectro, Alma Criolla y Amarrete. Su gran éxito llega con Carne de cabaret, con letra de Luís Roldán, tango que es grabado por Carlos Gardel.",,241
"LANGER, MARIE",calle,"Ley Nº 1.438-2004, BO Nº 2.037. Marie Lisbeth Glas Hausser de Langer (1910-1987), médica psicoanalista austriaca; es una de las fundadoras de la Asociación Psicoanalítica Argentina en 1942 y de la Asociación Argentina de Psicología y Psicoterapia de Grupo en 1957, a las que preside en reiteradas ocasiones; preside también la Federación Argentina de Psiquiatras; es profesora de la Cátedra de Psicología Médica de la Facultad de Medicina; autora de Maternidad y Sexo, Fantasías eternas a la luz del psicoanálisis, Memoria, historia y diálogo psicoanalítico y Aspectos teóricos y clínicos.",,242
"LARGUÍA, CADETE CARLOS",calle,"Decreto del 9-1-1931, BM N° 2.424. Carlos Larguía (1910-1930), militar; cursaba el tercer año en el Colegio Militar cuando muere en un enfrentamiento en la zona de Congreso durante la revolución del 6 de septiembre de 1930.",,244
"LA ROZA, DOCTOR JOSÉ IGNACIO DE",calle,"La Rosa por Ordenanza del 28-10-1904. Doctor José Ignacio de La Rosa por Ordenanza Nº 44.725-1990, BM N° 18.960. Por Decreto Nº 1.821-1991, BM N° 19.048, su nombre actual. José Ignacio de La Roza (1788-1834), jurisconsulto; teniente de gobernador de San Juan de 1815 a 1820, colabora con San Martín en la formación del Ejército de los Andes.",,244
"LASALA, TENIENTE DE NAVÍO CÁNDIDO DE",calle; plazoleta,"Ordenanza N° 27.679-1973, BM N° 14.543. Cándido Francisco José de Lasala (1770-1807), marino; combate durante las Invasiones Inglesas y fallece el 5 de julio de 1807 en la Defensa de Buenos Aires. Es éste un nombre tradicional de la ciudad, pues entre 1808 y 1822 se denominaron “Lasala” las actuales Chacabuco y Maipú.",,245
LATINOAMÉRICA,plazoleta,"Ordenanza N° 38.130-1982, BM N° 16.868. Latinoamérica: homenaje a las naciones de América cuya colonización fue realizada por países latinos, especialmente España y Portugal.",,246
"LAVAYSSE, BENJAMÍN J.",calle,"Decreto N° 3.781-1944, BM N° 7.241. Benjamín J. Lavaysse (¿1823?-1854), sacerdote; diputado por Santiago del Estero en el Congreso General Constituyente de 1853.",,248
"LAZO, EL",calle,"Ordenanza N° 6.485-1949, BM N° 8.603. Lazo: uno de los elementos más indispensables del recado del gaucho, cuya utilidad es fundamental en el manejo de las haciendas.",,248
"LEALTAD, DE LA",cantero central,"Ordenanza N° 50.228-1995, BM N° 20.214. De la Lealtad: homenaje al 17 de octubre de 1945, cuando se escribe una importante página de la participación política y del ascenso social de los sectores populares argentinos; ese día una concentración popular consigue la liberación del coronel Juan Domingo Perón y con la palabra “lealtad” se alude a la fidelidad popular del pueblo hacia quien luego sería presidente de la República.",,248
"LEVILLIER, DOCTOR ROBERTO",calle,"Ordenanza N° 36.126-1980, BM N° 16.384. Roberto Levillier (1886-1969), historiador y diplomático; autor de Historia Argentina, Nueva crónica de la conquista del Tucumán y Don Francisco de Toledo, supremo organizador del Perú; embajador en México de 1935 a 1937 y en el Uruguay de 1938 a 1941.",,251
"LIBERTI, ANTONIO VESPUCIO",calle,"Ordenanza N° 45.017-1991, BM N° 19.097. Antonio Vespucio Liberti (?-1976), dirigente deportivo; presidente del Club River Plate de 1933 a 1939, 1943 a 1952 y 1960 a 1967; durante su mandato se inaugura en 1938 el estadio que hoy lleva su nombre.",,252
"LLANES, RICARDO",cantero central,"Ley Nº 1.434-2004, BO Nº 2.040. Ricardo Llanes (1897-1980) seudónimo de Martín Llanes; escritor, periodista e historiador de la ciudad de Buenos Aires; autor de Recuerdos de Buenos Aires, El barrio de Flores, El barrio de Almagro, El barrio de San Cristóbal, El barrio de Parque de los Patricios, Teatros de Buenos Aires y Dos notas porteñas, Avenida de Mayo e Historia de la calle Florida.",,254
"LONARDI, TENIENTE GENERAL EDUARDO",plaza,"Ordenanza N° 36.485- 1981, BM N° 16.484. Eduardo Lonardi (1896-1956), militar; dirige la revolución del 16 de septiembre de 1955 en Córdoba; presidente provisional de la República en ese año.",,255
"LÓPEZ TORRES, FRANCISCO",plazoleta,"Ordenanza N° 27.606-1973, BM N° 14.525. Francisco López Torres (1839-1871), periodista, escritor y político; autor de La Huérfana de Pago Largo, La Virgen de Lourdes y Dayla; combate en la guerra contra el Paraguay, ministro de Gobierno de la provincia de Mendoza de 1867 a 1870; fundador y director de La Discusión de Buenos Aires; víctima de la epidemia de fiebre amarilla.",,257
LUCHTER,calle,"Plano Bemporat de la Capital Federal. Edición 1931-1932. Rodolfo Luchter (¿-?), vecino que dona los terrenos por donde se traza esta calle.",,259
LUJÁN,calle,"Ordenanza N° 10.412-1939, BM N° 5.585-6. Pedro Luján (?-1536), conquistador español; sobrino de don Pedro de Mendoza, participa en 1536 en la primera fundación de Buenos Aires; muere en el combate de Corpus Christi el 15 de junio del mismo año. Cabe señalar que si bien la Versión Taquigráfica de la sesión del Concejo Deliberante N° 73 del 4 de agosto de 1939, en que se sanciona esta ordenanza, menciona a Luján con el nombre de Diego, se trata de un error por cuanto el único individuo de este apellido que viajó con Mendoza fue Pedro (véase Enrique Udaondo, Diccionario Biográfico Colonial Argentino, Buenos Aires, Huarpes, 1945).",,260
"MADERNA, OSMAR",cantero central,"Ordenanza N° 45.591-1991, BM N° 19.205. Osmar Héctor Maderna (1918-1951), pianista y director; compositor de Concierto de la Luna, Rapsodia de tango y Lluvia de estrellas.",,265
"MADRES, DE LAS",plazoleta,"Ordenanza N° 29.953-1974, BM N° 15.052. Madres: homenaje a las madres argentinas.",,266
"MAFFIA, PEDRO",cantero central,"Ordenanza N° 45.591-1991, BM N° 19.205. Pedro Mario Maffia (1900-1967), bandoneonísta; titular de la Cátedra de bandoneón del Conservatorio Municipal Manuel de Falla; compositor de La mariposa, Amurado y Sentencia.",,266
"MANSILLA, EDUARDA",cantero central,"Ley N° 644-2001, BO N° 1.303. Eduarda Mansilla de García (1838-1892), escritora y periodista; el nombre de su primer hijo, Daniel, le sirve para firmar su primera novela El médico de San Luis que aparece en 1860, y con igual firma publica Lucía Miranda, inspirada en un episodio de la conquista del Río de la Plata; con el seudónimo de Alvar publica gran número de crónicas entre 1871 y 1872 en El Plata Ilustrado de Buenos Aires; en 1881 se estrena su obra La marquesa de Altamira.",,269
"MANSILLA, LUCIO V.",cantero central,"Ley N° 644-2001, BO N° 1.303. Lucio Victorio Mansilla (1831-1913), militar, periodista, político y escritor; autor de Una excursión a los indios ranqueles, Entre Nos y Canseries de los jueves.",,270
"MARTÍNEZ, BRIGADIER GENERAL DON ENRIQUE",plazoleta,"Ordenanza N° 45.024-1991, BM N° 19.097. Enrique Martínez (1789-1870), general uruguayo; combate durante las Invasiones Inglesas, en Guardia Vieja, Chacabuco, Curapaligüe, Gavilán, Talcahuano, Maipú y en la expedición al Perú; ministro de Guerra del gobernador Balcarce en 1833.",,272
"MARTÍNEZ, REGÍS",cantero central,"Ordenanza N° 44.722-1990, BM N° 18.973. Regís Martínez (1809-1862), político; representante por la provincia de La Rioja al Congreso General Constituyente en 1853; senador de 1854 a 1857.",,273
"MARTÍNEZ ESTRADA, EZEQUIEL",cantero central,"Ley N° 644-2001, BO N° 1.303. Ezequiel Martínez Estrada (1895-1964), poeta, narrador, dramaturgo y ensayista; primer premio Municipal de Poesía en 1927; autor de Radiografía de la Pampa, La cabeza de Goliat y Microscopía de Buenos Aires.",,273
"MARTÍNEZ ZUVIRÍA, DOCTOR GUSTAVO",calle,"Ordenanza N° 26.794- 1972, BM N° 14.329. Gustavo Martínez Zuviría (1883-1962), jurisconsulto y escritor con el seudónimo de Hugo Wast; autor de Alegre, Flor de durazno, Valle negro, Desierto de piedra, Lucía Miranda, Fuente sellada y La casa de los cuervos; interventor nacional en Catamarca en 1941; ministro de Justicia e Instrucción Pública de la Nación de 1943 a 1944; director de la Biblioteca Nacional.",,273
"MASUELLI, ÍTALO",plazoleta,"Ordenanza N° 52.134-1997, BO N° 396. Ítalo Masuelli (?-1984) dirigente sindical de Gas del Estado y posteriormente del Sindicato de Perfumistas y Afines; funda la Sociedad de Fomento del Barrio General San Martín, a través de la cual promueve actividades socioculturales reconocidas por el vecindario.",,274
"MATHIS, LEONIE",cantero central,"Ley N° 644-2001, BO N° 1.303. Leonie Mathis (1883-1952), artista plástica de origen francés; se destaca por su vasta obra de reconstrucción histórica, que permite recuperar escenas de la vida política y cultural de nuestro pasado; en el Museo Histórico de Buenos Aires Cornelio de Saavedra una sala permanente exhibe sus obras.",,275
"MATOS RODRÍGUEZ, GERARDO",cantero central,"Ordenanza N° 45.591- 1991, BM N° 19.205. Gerardo Hernán Matos Rodríguez (1900-1948), músico uruguayo; pianista; compositor de La Cumparsita y Che papusa, oí.",,276
"MÉDICOS, DE LOS",paseo,"Ley Nº 1.404-2004, BO Nº 2.023. Médicos: homenaje a las figuras del quehacer médico asistencial que sobresalen por su relevante trayectoria en el campo de la medicina y sus valiosos conocimientos en el campo de las ciencias.",,277
"MILLÁN, CAPITÁN DOMINGO ALEJO",plazoleta,"Ordenanza N° 38.198- 1982, BM N° 16.883. Domingo Alejo Millán (1797-1824), militar; combate en Salta, Vilcapugio, Ayohuma, Puesto del Marqués y Venta y Media, donde cae prisionero; asiste a la toma de Lima y participa en la campaña de Puertos Intermedios; vuelto a caer prisionero tras la sublevación del Callao en 1824, junto con Prudán, declaran haber sido ellos quienes encubren la fuga de Estomba y Luna, por lo que son fusilados.",,281
"MOGAS, MADRE MARÍA ANA",sector parque,"Ordenanza N° 51.007-1996, BO N° 98. María Ana Mogas Fonticuberta (1827-1886), religiosa española; fundadora de la congregación de las Religiosas Franciscanas Misioneras; desarrolla una acción comunitaria relevante en el campo de la enseñanza y de la salud, comprometida con su fe y caridad cristiana.",,284
"MOLFETTESES, DE LOS",plazoleta,"Ley Nº 768-2002, BO Nº 1.460. Molfetteses: homenaje a los inmigrantes italianos originarios de Molfetta, provincia de Bari, en Apulia, distrito de Barletta. MOLIÈRE (calle). Ordenanza del 27-11-1893. Molière: seudónimo de Juan Bautista Poquelín (1622-1673), dramaturgo francés; autor de El enfermo imaginario, El misántropo, El avaro y El burgués gentilhombre.",,284
"MOLINA CAMPOS, FLORENCIO",paseo peatonal,"Ordenanza N° 51.042- 1996, BO N° 113. Florencio Molina Campos (1891-1959), artista plástico; refleja en sus obras temas del campo argentino y de la vida de gauchos y paisanos; cultiva el terreno de la pintura, el dibujo, la ilustración y la caricatura; en 1941 es contratado por Walt Disney como supervisor de películas de dibujo animado; como caricaturista llega a su consagración popular con los famosos almanaques de Alpargatas, que aparecieron desde 1931 hasta 1934 y de 1940 a 1945.",,285
"MOLINAS, DOCTOR LUCIANO FLORENCIO",paseo,"Ordenanza N° 42.389- 1987, BM N° 18.182. Luciano Florencio Molinas (1888-1973), jurisconsulto; gobernador por Santa Fe desde 1932 hasta 1936; sucesor de Lisandro de la Torre en el partido Demócrata Progresista.",,285
MONTE ARARAT,plazoleta,"Ordenanza N° 38.079-1983, BM N° 17.057. Monte Ararat: región y monte de Armenia donde, según el relato bíblico, se detiene el Arca de Noé después del diluvio universal, conformando la cuna de la nueva humanidad.",,287
"MURA, FRANCISCO",cantero central,"Ordenanza N° 52.158-1997, BO N° 392. Francisco Mura (1901-1972), atleta y preparador físico de origen italiano; figura destacada del atletismo; obtiene la medalla de oro en los Juegos Olímpicos de Londres en 1948; fue preparador físico del club San Lorenzo.",,292
"MUZZILI, CAROLINA",calle,"Ordenanza N° 5.505-1933, BM Nº 3.546. Carolina Muzzili (1889-1917), escritora, periodista y política socialista; inspectora del Departamento Nacional del Trabajo; preocupada por el trabajo de la mujer obtiene un premio por una monografía sobre el tema en la Exposición de Gante y otro en la Internacional de San Francisco en 1915.",,293
NAVARRA,plazoleta,"Ordenanza N° 44.719-1990, BM N° 18.960. Navarra: región del Norte de España; capital: Pamplona.",,299
"NEGLIA, JOSÉ",cantero central,"Ordenanza N° 45.305-1991, BM N° 19.182. José Neglia (1929-1971), primer bailarín del Teatro Colón; muere trágicamente el 10 de octubre de 1971, al caer el avión en el que viajaba en la costa del Río de la Plata.",,300
"NEREIDAS, DE LAS",plazoleta,"Ordenanza N° 51.653-1997, BO N° 252. Fuente de las Nereidas: obra realizada por la escultora argentina Lola Mora (1866-1936); en 1903 se inaugura oficialmente en el Paseo de Julio; en 1918 la fuente fue trasladada a su emplazamiento actual, en el Balneario Sur; declarado Sitio de Interés Cultural por Ordenanza N° 49.292-1995, Decreto N° 658.",,300
"NERUDA, PABLO",cantero central,"Ley N° 644-2001, BO N° 1.303. Pablo Neruda seudónimo de Neftalí Reyes (1904-1973), poeta chileno; Premio Nobel de Literatura en 1971; autor de Veinte poemas de amor y una canción desesperada; Canto general, Fin del mundo y del libro de memorias Confieso que he vivido.",,301
"NIEVES, NUESTRA SEÑORA DE LAS",plaza,"Ordenanza N° 37.049-1981, BM N° 16.624. Nuestra Señora de las Nieves: advocación de la Virgen María considerada patrona de la Ciudad de Buenos Aires desde 1611.",,301
"NOBEL, DOCTOR ALFREDO",plaza,"Ordenanza N° 27.156-1972, BM N° 14.431. Alfredo Nobel (1833-1896), ingeniero químico e industrial sueco; descubridor de la dinamita; al morir establece con su fortuna los premios que llevan su nombre.",,302
"OCAMPO, DOCTOR GABRIEL",espacio público,"Ley 413-2000, BO Nº 994. Gabriel Ocampo (1798-1882), jurisconsulto; ministro de Gobierno de La Rioja en 1820; diputado por Colchagua y secretario del Congreso Constituyente de Chile que sanciona la Constitución de 1823; redactor del Código de Comercio de Chile en 1865.",,306
"ODDONE, JACINTO",plazoleta,"Ordenanza N° 45.610-1991, BM N° 19.228. Jacinto Oddone (1881-1968), político; funda en 1903 la Sociedad de Obreros Torneros en Madera; miembro del Partido Socialista; es diputado provincial en Buenos Aires; Intendente Municipal del partido Avellaneda en 1920; diputado nacional en 1922, 1932 y 1942; autor de Las comunidades religiosas en la República Argentina, Historia del socialismo argentino, Gremialismo proletario argentino y La lucha de clases.",,307
"OLASCOAGA, CORONEL MANUEL JOSÉ",calle,"Ordenanza N° 35.154- 1979, BM N° 16.096. Manuel José Olascoaga (1835-1911), militar y geógrafo; combate en Pavón; confecciona la memoria y plan de defensa contra los indios de 1862; secretario de Roca durante su actuación como ministro de Guerra, organiza y ejecuta junto con éste la campaña al Río Negro; autor de Estudio Topográfico de La Pampa y Río Negro; gobernador de Neuquén de 1885 a 1891; funda Chos Malal.",,308
"ONELLI, CLEMENTE",cantero central,"Ordenanza N° 43.384-1988, BM N° 18.518. Clemente Onelli (1864-1924), naturalista italiano; antropólogo y zoólogo; director del Jardín Zoológico de Buenos Aires de 1904 a 1924.",,311
"ONZARI, CESÁRIO",cantero central,"Ley N° 838-2002, BO N° 1.510. Cesário Onzari (1903-1964), futbolista del club Huracán; autor del primer gol directo desde un tiro de esquina ocurrido el 1° de octubre de 1924, jugando para el seleccionado argentino, en la cancha del Club Sportivo Barracas, contra el seleccionado de Uruguay. El gol recibió el nombre de olímpico ya que la selección uruguaya había obtenido ese año el campeonato en los Juegos Olímpicos de Francia.",,311
ORGANIZACIÓN ESTADOS AMERICANOS,plazoleta,"Ordenanza N° 49.650- 1995, BM N° 20.156. Organización Estados Americanos (OEA): homenaje a este organismo creado con la carta de Bogotá firmada en 1948 por todas las naciones de América, con la finalidad de garantizar la seguridad del Continente contra cualquier agresión, y fomentar su desarrollo cultural y económico.",,311
"ORIBE, BRIGADIER GENERAL DON MANUEL",plazoleta,"Ordenanza N° 46.175-1992, BM N° 19.763. Manuel Ceferino Oribe y Viana (1792-1857), militar uruguayo; organiza y toma parte en la expedición de los 33 Orientales en 1825; combate en Ituzaingó y Camacuá en 1828; presidente de la República Oriental del Uruguay de 1835 a 1838; triunfa en Quebracho Herrado, Famaillá y Arroyo Grande.",,312
"ORTEGA PEÑA, RODOLFO",cantero central,"Ordenanza N° 47.771-1994, BM N° 19.850. Rodolfo Ortega Peña (1936-1974), abogado, político, periodista, historiador y profesor universitario; diputado nacional (1973), defensor de detenidos políticos durante el gobierno de Lanusse; fue asesinado por la Triple A el 31 de julio de 1974.",,313
PALERMO VIEJO,plaza,"Ordenanza N° 52.159-1997, BO Nº 422. Palermo Viejo: nombre con que se conoce actualmente al sector del barrio de Palermo limitado por la avenida Córdoba, Godoy Cruz, Charcas y Julián Álvarez; característico por sus actividades comerciales y culturales.",,319
"PARAGUAY, REPÚBLICA DE",plazoleta,"Ordenanza N° 27.737-1973, BM N° 14.555. Paraguay: país sudamericano. Capital: Asunción.",,320
"PASSAPONTI, DARWIN",cantero central,"Ordenanza N° 45.598-1991, BM N° 19.222. Darwin Passaponti (1928-1945), militante peronista; muerto trágicamente a los 17 años durante los sucesos ocurridos el 17 de octubre de 1945.",,323
"PATAGONIA REBELDE, LA",cantero central,"Ley N° 647-2001, BO Nº 1.303. La Patagonia Rebelde: película dirigida por Héctor Olivera en 1974, basada en el libro de Osvaldo Bayer sobre las huelgas y posteriores fusilamientos en la Patagonia.",,323
PATORUZÚ,cantero central,"Ley N° 431-2000, BO N° 1.002. Patoruzú: protagonista de la historieta creada por Dante Raúl Quinterno, que aparece por primera vez en el diario Crítica en 1928 y que en 1936 comienza a publicarse como revista.",,324
"PELUFFO, ÁNGEL",calle,"Ordenanza N° 5.482-1933, BM N° 3.547. Ángel Peluffo (1842-1922), horticultor uruguayo; establece en nuestro país una de la primeras casas de plantas y semillas; miembro fundador del Banco Popular Argentino. PENA, JOSÉ LUIS (sendero), Ordenanza Nº 51.579-1997, BO Nº 219. José Luis Pena (1892-1978), periodista, economista y astrónomo; diputado nacional por el Partido Socialista de 1924 a 1928 y de 1932 a 1936; concejal de la ciudad de 1938 a 1941 y de 1958 a 1962, propulsa la creación del Planetario de la Ciudad de Buenos Aires que se inaugura el 13 de junio de 1967.",,327
"PENELÓN, JOSÉ",pasaje peatonal,"Ordenanza N° 52.134-1997, BO Nº 396. José Fernando Penelón (1891-1954), obrero gráfico; funda y dirige los periódicos La Internacional y La Correspondencia Sudamericana; principal protagonista de la creación del Partido Socialista Internacional (1918), luego Partido Comunista; funda el Partido Concentración Obrera; concejal de la ciudad de Buenos Aires de 1921 a 1924, 1927 a 1930, 1932 a 1935 y de 1938 a 1941.",,327
"PÉREZ, JOSÉ JULIÁN",calle,"Pérez por Ordenanza del 27-11-1893 y por Ordenanza N° 26.422-1972, BM N° 14.237, su nombre actual. José Julián Pérez (1770-1840), jurisconsulto; representante de Tarija ante la Junta de Buenos Aires en 1810; secretario de Gobierno y Relaciones Exteriores del Primer Triunvirato y miembro del segundo.",,329
"PETTORUTI, EMILIO",calle,"Ordenanza N° 49.137-1995, BM N° 20.091. Emilio Pettoruti (1892-1971) artista plástico; entre sus obras se destacan los óleos Gruta Azul, El quinteto, La del abanico verde y Copa verde-gris.",,331
"PIAZZOLA, ASTOR",paseo,"Ley Nº 2.204-2006, BO Nº 2.613. Astor Piazzolla (1921-1992), bandoneonista, compositor y director; es el artífice de la renovación vanguardista del tango, al que enriqueció con elementos clásicos y del jazz. Autor de Adiós nonino, Balada para un loco, Chiquilín de Bachín; la serie de las Estaciones (Verano Porteño, Otoño Porteño, Invierno Porteño y Primavera Porteña); la Serie del Ángel (Introducción al ángel, Milonga del ángel, Muerte del ángel y Resurrección del ángel); Revirado, Fracanapa, Calambre, Buenos Aires Hora Cero, Decarísimo, Michelangelo ´70, Fugata, Libertango y Suite Troilana, entre otros.",,331
"PIGÜÉ, CIUDAD DE",cantero central,"Ordenanza N° 15.803-1959, BM N° 11.300. Pigüé: ciudad cabecera del partido de Saavedra, provincia de Buenos Aires; se otorga este nombre como homenaje a esta ciudad al cumplir su 75º aniversario.",,333
"PILSUDSKI, MARISCAL JOSÉ",plazoleta,"Ordenanza N° 24.039-1968, BM N° 13.442. José Pilsudski (1867-1935), militar y estadista polaco; presidente de Polonia de 1919 a 1922; ministro de guerra desde 1928, se encarga de la presidencia en 1930; contribuye a la proclamación de la nueva constitución firmada por su sucesor el presidente Moscicki.",,333
"PIPET, MATÍAS",cantero central,"Ley Nº 182-1999. BO Nº 708. Matías Pipet (1828-1886), grabador de origen francés; crea el primer sello postal adhesivo en nuestro país, cuya primera circulación tuvo lugar el 21 de agosto de 1856 en la provincia de Corrientes.",,334
"PIZARNIK, ALEJANDRA",plazoleta,"Ordenanza N° 45.018-1991, BM N° 19.097. Alejandra Pizarnik (1936-1972), poetisa y escritora; autora de La tierra más ajena, Alta mar, Los trabajos y las noches y Árbol de Diana.",,335
POLICÍA FEDERAL ARGENTINA,plazoleta,"Ordenanza N° 40.847-1985, BM N° 17.664. Policía Federal Argentina: homenaje al cuerpo de policía creado por decreto del 24-12-1943.",,337
