name,feature_types,detail_text,see_also,source_page
BEADE,calle,"Indicador Urbano de la Ciudad de Buenos Aires, J. G. La-Torre, año 1900, y Plano de la Ciudad de Buenos Aires, Municipalidad, año 1968. Fernando Beade (¿1842?-1916), comerciante; creador, junto con el doctor Eduardo Costa, de la Empresa y Puerto de Campana, participa en la fundación de esa ciudad; dona los terrenos donde se encuentra esta calle. Cabe señalar que Enrique Udaondo y Adrián Béccar Varela, en la obra Plazas y calles de Buenos Aires, significación histórica de sus nombres, Buenos Aires, 1910, mencionan como dueño de esas tierras al escribano Fernando Beade (1882-1955), quien fue en realidad hijo del originario dueño y donante de las mismas.",,70
"BECHER, EMILIO",calle,"Emilio Becker por Ordenanza N° 8.523-1937, BM N° 4.867 y por Decreto N° 1.592-1955, BM N° 10.245, su nombre actual. Emilio Becher (1882-1921), periodista del diario La Nación, donde escribe con el seudónimo de Stylo; autor de Diálogos de las sombras.",,70
"BELLO, DIPUTADO NACIONAL CARLOS",paseo,"Ley N° 399-2000, BO N° 983. Carlos Bello (1936-1989), político radical de la Boca y Barracas; concejal de la ciudad de Buenos Aires de 1973 a 1976 y diputado nacional entre 1985 y 1989.",,72
BERGANTÍN VIGILANTE,calle,"Ordenanza N° 31.649-1975, BM N° 15.127. Bergantín Vigilante: nave que, junto con el Belgrano, Echagüe y San Martín, integra la escuadra de Brown en 1841.",,74
"BERNASCONI, IRENE",cantero central,"Ley N° 892-2002, BO N° 1.545. Irene Bernasconi (1897-1989), investigadora y bióloga; se consagra al estudio de las ciencias naturales, especializándose en zoología en el Museo Argentino Bernardino Rivadavia; en 1947 obtiene el premio Dr. Eduardo Holmberg por su obra Asteroides argentinos (estrellas de mar); es autora de Equinodermos: resultado de la primera expedición a Tierra del Fuego, Los equinodermos de los mares argentinos y Los asteroides sudamericanos de la familia Indiae.",,75
"BERNI, ANTONIO",cantero central,"Ley N° 644-2001, BO N° 1.303. Antonio Berni (1905-1981), artista plástico; es laureado con el premio máximo en la sección de dibujo y grabado en la Bienal de Venecia en 1962; presidente de la Asociación Argentina de Artistas Plásticos; autor de las obras La siesta, Desocupados, Manifestación, Chacareros, Villa Cartón, Villa Piolín y la célebre serie de Juanito Laguna.",,75
"BOMBEROS, POLICÍA FEDERAL ARGENTINA, SUPERINTENDENCIA DE",plazoleta,"Ordenanza N° 44.611-1990, BM N° 18.948. Superintendencia de Bomberos, Policía Federal Argentina: homenaje a los bomberos de la Policía Federal Argentina, cuerpo creado el 2 de enero de 1870, con el nombre de Vigilantes Bomberos.",,80
"BORES, TATO",espacio público,"Ley Nº 2.157-2006, BO Nº 2.602. Mauricio Borensztein (1927-1996); actor conocido como Tato Bores. Inicia su carrera en la radio en la década de 1940 y en el cine en 1948. En la televisión se impone como un notable monologuista. Su personaje más destacado es el que, desde 1958, realiza los domingos en Tato y sus monólogos, Tato siempre en domingo, Por siempre Tato, Dígale sí a Tato, Déle crédito a Tato, Tato versus Tato, Tato de América y Good Show, entre otros títulos, donde aparece vestido de frac, peluca, lentes y habano. Su lucidez e ironía analizando la realidad política nacional le valieron el apoyo del público y también la atención de la censura.",,81
"BOROWSKY, MICHEL",cantero central,"Ordenanza N° 45.305-1991, BM N° 19.182. Michel Borowsky (1910-1971), bailarín; maestro y coreógrafo del Teatro Colón.",,81
"BRASIL, REPÚBLICA FEDERATIVA DEL",plaza,"Estados Unidos del Brasil por Ordenanza N° 15.265-1959, BM N° 11.171. Modificada por Ordenanza N° 38.840-1983, BM N° 17.007, su nombre actual. República Federativa del Brasil: país sudamericano. Capital: Brasilia.",,83
"BROGGI, DARÍO",plazoleta,"Ley Nº 1.565-2004, BO Nº 2.115. Darío Broggi (¿1861?-1933) sacerdote de origen italiano; llega a Buenos Aires con el propósito de asistir a los inmigrantes de esa nacionalidad; a su iniciativa se debe la erección del Santuario de Nuestra Señora de Pompeya, cuya piedra fundamental se coloca el 14 de mayo de 1896; impulsa la creación del colegio de Artes y Oficios de Nueva Pompeya que pasa a pertenecer a la Sociedad de Conservación de la Fe.",,83
"BUENOS AIRES, PROVINCIA DE",cantero central,"Ordenanza N° 42.882- 1988, BM N° 18.357. Buenos Aires: provincia de la República Argentina. Capital: La Plata.",,85
"BUSTILLO, ARQUITECTO ALEJANDRO",plaza,"Ley N° 843-2002, BO N° 1.509. Alejandro Bustillo (1889-1982), pintor, escultor y arquitecto; entre sus obras se destacan el Museo Nacional de Bellas Artes, el conjunto del Casino y Hotel Provincial de Mar del Plata, el Banco de la Nación Argentina y el Hotel Llao- Llao de Bariloche.",,86
"CABRINI, SANTA FRANCISCA JAVIER",espacio verde,"Ordenanza N° 52.143-1997, BM N° 383. Francisca Javier Cabrini (1850-1917), religiosa y educadora de origen italiano; funda en 1880 el Instituto de las Misioneras del Sagrado Corazón de Jesús; canonizada por Pío XII en 1946, es declarada en 1950 Patrona Universal de los Emigrantes.",,92
"CALÓ, MIGUEL",plazoleta,"Ordenanza N° 45.591-1991, BM Nº 19.205. Miguel Caló (1907-1972), músico, bandoneonista; director de orquesta; compositor de Todo es mentira, Mi gaucha, Garabino y Qué falta que me hacés.",,96
"CAMBIASSO, ANTONIO",plazoleta,"Ordenanza N° 43.397-1988, BM N° 18.518. Antonio Cambiasso (¿-?), homenaje a uno de los primeros pobladores del barrio Villa del Parque, que alrededor de 1906 donó los solares donde se levantó la capilla de la Santísima Virgen Niña y la plaza Aristóbulo del Valle.",,96
"CANARIAS, ISLAS",cantero central,"Ley N° 895-2002, BO N° 1.545. Islas Canarias: archipiélago español en el Atlántico, dividido en dos provincias: Santa Cruz de Tenerife y Las Palmas. CANARO, FRANCISCO (Patio de recreación). Ordenanza Nº 44.572-1990, BM Nº 18.944. Francisco Canaro: nombre artístico de Francisco Canarozzo (1888-1964), violinista, compositor y director de orquesta uruguayo; en 1940 se nacionaliza argentino. Es el creador del tango-milonga y también uno de los que más contribuye a la extensión y popularidad del tango en Europa. Autor de Sentimiento gaucho, Madreselva y Adiós pampa mía, entre otras.",,99
CARAS Y CARETAS,plazoleta,"Ley N° 564-2001, BO N° 1.185. Caras y Caretas: revista que marca una época en la gráfica argentina; aparece el 8 de octubre de 1898 y se mantiene hasta el 17 de octubre de 1939.",,102
"CARBONI, CARLOS",cantero central,"Ley Nº 2.049-2006, BO Nº 2.514. Carlos Carbone (1901-1989), maestro fileteador de origen italiano; es, entre los fileteadores, uno de los más finos y armoniosos. Sus “tablas” fileteadas se exhiben en el Museo de la Ciudad y en el Museo de Arte Contemporáneo Luís González Robles de la Universidad de Alcalá de Henares (España).",,102
"CÁRPENA, ELÍAS",cantero central,"Ley Nº 2.047-2006, BO Nº 2.515. Elías Cárpena (1897-1988), escritor y poeta; autor de El cuatrero Montenegro, El doradillo, El inglés del bañado y Romances del pago de la Matanza.",,103
